generation,best_distance,best_fitness,average_fitness,best_distance_std,best_fitness_std,average_fitness_std
49,4327.948408577747,0.0002310563587167,0.0002019194068847,,,
50,4327.948408577747,0.0002310563587167,0.0002021116436898,,,
51,4327.948408577747,0.0002310563587167,0.0002029315624442,,,
52,4327.948408577747,0.0002310563587167,0.0002027972638113,,,
53,4327.948408577747,0.0002310563587167,0.0002084755775035,,,
54,4327.948408577747,0.0002310563587167,0.0002057909431706,,,
55,4327.948408577747,0.0002310563587167,0.0002125187209045,,,
56,4327.948408577747,0.0002310563587167,0.0002116225713221,,,
57,4327.948408577747,0.0002310563587167,0.0002115729204691,,,
58,4327.948408577747,0.0002310563587167,0.0002123676243435,,,
59,4322.372910177725,0.0002313544020335,0.0002132983475505,,,
60,4243.700901685159,0.0002356433743016,0.0002126059265457,,,
61,4243.700901685159,0.0002356433743016,0.0002133225413639,,,
62,4243.700901685159,0.0002356433743016,0.0002091478682977,,,
63,4243.700901685159,0.0002356433743016,0.0002057566130846,,,
64,4243.700901685159,0.0002356433743016,0.0002074627921251,,,
65,4243.700901685159,0.0002356433743016,0.0002114268836263,,,
66,4217.393962768072,0.0002371132525982,0.0002094290893716,,,
67,4217.393962768072,0.0002371132525982,0.0002102021899504,,,
68,4157.024914323556,0.0002405566530415,0.0002083269016461,,,
69,4157.024914323556,0.0002405566530415,0.0002117399890657,,,
70,4157.024914323556,0.0002405566530415,0.000211985967796,,,
71,4157.024914323556,0.0002405566530415,0.0002121361225381,,,
72,4157.024914323556,0.0002405566530415,0.0002160238265582,,,
73,4157.024914323556,0.0002405566530415,0.0002153371464029,,,
74,4157.024914323556,0.0002405566530415,0.0002183696629292,,,
75,4157.024914323556,0.0002405566530415,0.0002148927915074,,,
76,4157.024914323556,0.0002405566530415,0.0002191877388003,,,
77,4157.024914323556,0.0002405566530415,0.0002215040256322,,,
78,4157.024914323556,0.0002405566530415,0.0002212856158825,,,
79,4157.024914323556,0.0002405566530415,0.0002228503791431,,,
80,4157.024914323556,0.0002405566530415,0.0002136396628379,,,
81,4157.024914323556,0.0002405566530415,0.0002166910846569,,,
82,4157.024914323556,0.0002405566530415,0.0002150265644564,,,
83,4157.024914323556,0.0002405566530415,0.0002171377355464,,,
84,4157.024914323556,0.0002405566530415,0.0002149173379398,,,
85,4157.024914323556,0.0002405566530415,0.000216244094833,,,
86,4157.024914323556,0.0002405566530415,0.0002160814293664,,,
87,4157.024914323556,0.0002405566530415,0.0002164754483945,,,
88,4157.024914323556,0.0002405566530415,0.0002162784015096,,,
89,4157.024914323556,0.0002405566530415,0.0002193937940372,,,
90,4157.024914323556,0.0002405566530415,0.0002167814237914,,,
91,4157.024914323556,0.0002405566530415,0.0002144866895094,,,
92,4157.024914323556,0.0002405566530415,0.0002171519718046,,,
93,4157.024914323556,0.0002405566530415,0.0002145105375373,,,
94,4157.024914323556,0.0002405566530415,0.0002171136323259,,,
